Scaffold ID
3300051196 assembled Ga0528493_0097895
3300056685 assembled Ga0557737_000014
3300043540 assembled Ga0453685_041658
3300033174 assembled Ga0334882_1001494
3300040733 assembled Ga0439193_002990
3300051375 assembled Ga0503110_0011720
3300048038 assembled Ga0497325_003902
3300033171 assembled Ga0334895_1000002
3300033165 assembled Ga0334892_1000256
3300039080 assembled Ga0415121_666732
3300051817 assembled Ga0528669_018953
3300037993 assembled Ga0427919_0000573
3300032897 assembled Ga0335071_10139576
3300043116 assembled Ga0484787_000113
3300047501 assembled Ga0494789_0018562
3300050645 assembled Ga0531112_000397
3300041682 assembled Ga0451959_2369173
3300033175 assembled Ga0334890_1012931
3300036969 assembled Ga0377229_021344
3300044904 assembled Ga0480571_000100
3300038993 assembled Ga0416810_0236151
3300033177 assembled Ga0334883_1000090
3300051162 assembled Ga0526685_0346238
3300037810 assembled Ga0376277_0028202
3300054068 assembled nmdc:mga0er40_686_c1
3300049638 assembled Ga0499516_007872
3300052294 assembled Ga0528638_013032
3300048561 assembled Ga0496019_0068885
3300044477 assembled Ga0436620_0013655
3300051844 assembled Ga0528647_002242
3300033487 assembled Ga0316630_10133661
3300057031 assembled Ga0568840_0032262
3300050335 assembled Ga0528473_001623
3300033141 assembled Ga0366833_1039456
3300033172 assembled Ga0334888_1002739
3300056905 assembled Ga0568917_0035042
3300042603 assembled Ga0466714_040873
3300036908 assembled Ga0334869_010500
3300031885 assembled Ga0315285_10081418
3300051621 assembled Ga0527697_006480
3300050334 assembled Ga0528474_000311
3300041749 assembled Ga0452025_0859875
3300033170 assembled Ga0334884_1000469
3300036951 assembled Ga0377208_000026
3300048574 assembled Ga0498941_006233
3300047646 assembled Ga0497327_020018
3300035543 assembled Ga0376505_03611
3300033414 assembled Ga0316619_10275807
3300038470 assembled Ga0436467_0013339
3300052305 assembled Ga0527687_017416
3300042619 assembled Ga0466726_088688
3300041958 assembled Ga0456191_002478
3300056886 assembled Ga0568902_0068867
3300036761 assembled Ga0373627_0000778
3300033145 assembled Ga0366840_1060599
3300041750 assembled Ga0452027_1367934
3300037408 assembled Ga0392393_0364466
3300051019 assembled Ga0526686_0099310
3300045653 assembled Ga0486097_49845
3300038403 assembled Ga0436461_0098040
3300039507 assembled Ga0435843_000122
3300035701 assembled Ga0373625_0001291
3300037408 assembled Ga0392393_0376847
3300035492 assembled Ga0376445_036505
3300042270 assembled Ga0451653_016723
3300049702 assembled Ga0499529_038048
3300059485 assembled Ga0499530_000015
3300035455 assembled Ga0394203_07099
3300037048 assembled Ga0377240_000186
3300052278 assembled Ga0527689_001683
3300048838 assembled Ga0498922_0021710
3300051035 assembled Ga0527645_007266
3300038423 assembled Ga0427934_0003692
3300038674 assembled Ga0416709_04150
3300052282 assembled Ga0528624_000002
3300036888 assembled Ga0334830_014672
3300040944 assembled Ga0439237_0011408
3300055372 assembled Ga0529887_000960
3300051019 assembled Ga0526686_0020476
3300035447 assembled Ga0394084_01350
3300037047 assembled Ga0377239_002027
3300057014 assembled Ga0568896_0002988
3300054085 assembled nmdc:mga0qb88_864_c1
3300032897 assembled Ga0335071_10000424
3300041667 assembled Ga0451943_0379075
3300051634 assembled Ga0527716_020233
3300047185 assembled Ga0494796_000082
3300056897 assembled Ga0568878_0016869
3300037264 assembled Ga0393283_0048800
3300045887 assembled Ga0495965_000589
3300037084 assembled Ga0334808_003758
3300035559 assembled Ga0394089_06137
3300057050 assembled Ga0568865_0210570
3300052299 assembled Ga0528644_007568
3300035637 assembled Ga0394078_11127
3300033176 assembled Ga0334886_1003506
3300033889 assembled Ga0373411_0001041
3300041859 assembled Ga0452077_1301992
3300039084 assembled Ga0415122_0259055
3300036931 assembled Ga0334845_0000180
3300050330 assembled Ga0528792_006019
3300042592 assembled Ga0466693_314642
3300052297 assembled Ga0528642_033856
3300050333 assembled Ga0528472_001204
3300033143 assembled Ga0366829_1109702
3300036940 assembled Ga0377182_000150
3300050021 assembled Ga0494719_009781
3300037225 assembled Ga0395714_000399
3300037064 assembled Ga0395698_037749
3300033521 assembled Ga0316616_100675975
3300051821 assembled Ga0528677_008785
3300051027 assembled Ga0527632_016765
3300051196 assembled Ga0528493_0003826
3300056809 assembled Ga0558072_0000244
3300036942 assembled Ga0377186_063463
3300038673 assembled Ga0416707_000491
3300042273 assembled Ga0451656_032674
3300035660 assembled Ga0373629_0172352
3300038552 assembled Ga0436465_0506055
3300034091 assembled Ga0326724_0001958
3300042598 assembled Ga0466701_032264
3300051218 assembled Ga0496794_002623
3300057032 assembled Ga0568849_0008797
3300042616 assembled Ga0466715_396122
3300051218 assembled Ga0496794_000883
3300036761 assembled Ga0373627_0217420
3300033889 assembled Ga0373411_0000337
3300052279 assembled Ga0527690_013190
3300033141 assembled Ga0366833_1000113
3300059599 assembled Ga0568901_0188809
3300035053 assembled Ga0376525_001875
3300041860 assembled Ga0452081_0680738
3300037065 assembled Ga0395704_001285
3300037264 assembled Ga0393283_0055953
3300035040 assembled Ga0376514_010756
3300056675 assembled Ga0558068_0000449
3300038985 assembled Ga0393737_108666
3300036884 assembled Ga0334813_055366
3300032053 assembled Ga0315284_10284748
3300042257 assembled Ga0451647_004244
3300046685 assembled Ga0494751_0037466
3300033145 assembled Ga0366840_1083313
3300036949 assembled Ga0377206_081683
3300049914 assembled Ga0494770_0046497
3300036929 assembled Ga0334880_009071
3300032783 assembled Ga0335079_10113425
3300057047 assembled Ga0568841_0038905
3300037308 assembled Ga0394872_0023457
3300033173 assembled Ga0334889_1038298
3300037528 assembled Ga0334897_000415
3300045456 assembled Ga0484007_000501
3300054100 assembled nmdc:mga0wn63_13_c1
3300047645 assembled Ga0497324_002340
3300041566 assembled Ga0451917_0438312
3300049640 assembled Ga0499518_034108
3300056883 assembled Ga0568879_0000369
3300054095 assembled nmdc:mga0tq55_3265_c1
3300037104 assembled Ga0395706_005576
3300048574 assembled Ga0498941_108660
3300051162 assembled Ga0526685_0007354
3300033521 assembled Ga0316616_100507099
3300042965 assembled Ga0453286_054884
3300031746 assembled Ga0315293_10009080
3300056885 assembled Ga0568890_0246916
3300037045 assembled Ga0377235_083492
3300038415 assembled Ga0427923_0012318
3300048769 assembled Ga0494733_0082456
3300032096 assembled Ga0326300_100017
3300033178 assembled Ga0334885_1000701
3300037540 assembled Ga0392324_0039819
3300035200 assembled Ga0376963_021746
3300035102 assembled Ga0376526_000017
3300033487 assembled Ga0316630_10161031
3300037043 assembled Ga0377233_000028
3300049718 assembled Ga0495413_0000034
3300037468 assembled Ga0393271_0099811
3300042910 assembled Ga0453288_1506
3300037461 assembled Ga0392394_0314943
3300035179 assembled Ga0373630_0033458
3300051162 assembled Ga0526685_0033678
3300049646 assembled Ga0499525_029781
3300033983 assembled Ga0371488_0089692
3300033388 assembled Ga0370355_1000128
3300056868 assembled Ga0568855_0152132
3300057044 assembled Ga0568899_0103270
3300045611 assembled Ga0438319_0090478
3300051626 assembled Ga0527704_000311
3300056868 assembled Ga0568855_0386812
3300041548 assembled Ga0451911_0638189
3300051226 assembled Ga0497293_000912
3300036966 assembled Ga0377226_019835
3300035659 assembled Ga0373628_0020830
3300035103 assembled Ga0376527_000490
3300035051 assembled Ga0376523_026634
3300041700 assembled Ga0451963_0607137
3300033173 assembled Ga0334889_1000054
3300037993 assembled Ga0427919_0000061
3300036959 assembled Ga0377217_001546
3300033169 assembled Ga0334887_1005205
3300049647 assembled Ga0499526_000002
3300037089 assembled Ga0334820_000230
3300033893 assembled Ga0326768_000088
3300033889 assembled Ga0373411_0000084
3300033561 assembled Ga0371490_1043244
3300033433 assembled Ga0326726_10307976
3300049646 assembled Ga0499525_000019
3300038549 assembled Ga0436459_0013520
3300058959 assembled Ga0499524_032317
3300037067 assembled Ga0378408_0079300
3300033521 assembled Ga0316616_100130977
3300044606 assembled Ga0485351_001118
3300052313 assembled Ga0528637_002858
3300038743 assembled Ga0417229_000030
3300051038 assembled Ga0527648_009380
3300036981 assembled Ga0393264_0011547
3300035337 assembled Ga0393880_10313
3300049702 assembled Ga0499529_000012
3300039221 assembled Ga0416818_1169782
3300033175 assembled Ga0334890_1001308
3300036930 assembled Ga0334841_096425
3300033486 assembled Ga0316624_10093030
3300035640 assembled Ga0394087_07283
3300056750 assembled Ga0558064_0000873
3300037249 assembled Ga0392371_0003075
3300050014 assembled Ga0494704_010371
3300033150 assembled Ga0366835_1000278
3300034783 assembled Ga0376972_00221
3300050645 assembled Ga0531112_000880
3300035208 assembled Ga0376279_0028025
3300035447 assembled Ga0394084_20993
3300037067 assembled Ga0378408_0451569
3300036953 assembled Ga0377210_077505
3300042636 assembled Ga0466703_359768
3300037993 assembled Ga0427919_0000032
3300051511 assembled Ga0527684_003026
3300056751 assembled Ga0558065_0000604
3300054096 assembled nmdc:mga0tz31_14143_c1
3300056868 assembled Ga0568855_0008683
3300037215 assembled Ga0395681_001094
3300044856 assembled Ga0455773_003106
3300036965 assembled Ga0377224_001439
3300057050 assembled Ga0568865_0000123
3300050015 assembled Ga0494705_0002767
3300041891 assembled Ga0452101_1224854
3300036760 assembled Ga0373620_0027052
3300035635 assembled Ga0394025_08275
3300034686 assembled Ga0334891_001389
3300057307 assembled Ga0583562_0025165
3300048500 assembled Ga0494001_025209
3300045735 assembled Ga0484974_0073534
3300038477 assembled Ga0436672_0021256
3300051834 assembled Ga0528611_000035
3300044606 assembled Ga0485351_000728
3300033165 assembled Ga0334892_1006844
3300037060 assembled Ga0334867_013987
3300033167 assembled Ga0334898_1011980
3300051837 assembled Ga0528614_000085
3300048048 assembled Ga0497341_001461
3300042611 assembled Ga0466697_012974
3300033827 assembled Ga0334848_005586
3300031920 assembled Ga0326328_10002344
3300048598 assembled Ga0498939_000702
3300042280 assembled Ga0451664_025388
3300042606 assembled Ga0466719_051673
3300045144 assembled Ga0438307_0002442
3300033174 assembled Ga0334882_1000545
3300036947 assembled Ga0377204_040551
3300035640 assembled Ga0394087_09381
3300046484 assembled Ga0495438_0111328
3300043295 assembled Ga0439229_000797
3300038580 assembled Ga0395501_00877
3300033146 assembled Ga0366841_1006399
3300033983 assembled Ga0371488_0024325
3300051041 assembled Ga0527651_008202
3300056973 assembled Ga0568895_0050844
3300050033 assembled Ga0494720_014438
3300048775 assembled Ga0494743_023814
3300038428 assembled Ga0427950_000205
3300057010 assembled Ga0568860_0022052
3300037164 assembled Ga0395628_0005777
3300054073 assembled nmdc:mga0j019_109487_c1
3300050336 assembled Ga0528475_000886
3300039509 assembled Ga0435835_000001
3300045017 assembled Ga0438303_0000064
3300033482 assembled Ga0316627_100184530
3300035701 assembled Ga0373625_0029003
3300057048 assembled Ga0568852_0033264
3300047646 assembled Ga0497327_009459
3300049996 assembled Ga0494777_0001588
3300048050 assembled Ga0497343_032606
